x,y
0,43
1,81
2,37
3,59
4,84
5,66
6,60
7,24
8,46
9,72
10,76
11,77
12,86
13,42
14,23
15,24
16,52
17,96
18,87
19,79
20,90
21,98
22,81
23,51
24,24
25,48
26,90
27,60
28,52
29,79
30,24
31,16
32,100
33,74
34,95
35,83
36,22
37,22
38,17
39,92
40,19
41,23
42,75
43,86
44,24
45,1
46,68
47,58
48,68
49,6
50,61
51,51
52,76
53,87
54,44
55,58
56,18
57,52
58,66
59,61
60,75
61,80
62,50
63,97
64,60
65,56
66,25
67,12
68,92
69,42
70,8
71,9
72,55
73,3
74,85
75,49
76,42
77,91
78,4
79,29
80,63
81,71
82,68
83,81
84,6
85,12
86,22
87,30
88,86
89,55
90,31
91,52
92,46
93,72
94,48
95,88
96,17
97,89
98,3
99,92
